home_score,away_score,final_float,first_float,second_float,third_float,fourth_float
2,8,0.0030959752321981426,0.00016294606485253382,0,0.000977676389115203,0.0029330291673456085
2,9,0.004399543751018413,0,0.00016294606485253382,0.0011406224539677367,0.0035848134267557437
3,0,0.03030796806257129,0.08733909076095812,0.0443213296398892,0.03910705556460811,0.02607137037640541
3,1,0.009939709956004562,0.0006517842594101353,0.008636141437184292,0.008799087502036826,0.009939709956004562
3,2,0.0035848134267557437,0.0004888381945576015,0.000977676389115203,0.0032589212970506763,0.0035848134267557437
3,3,0.013035685188202705,0.0342186736190321,0.0332409972299169,0.03030796806257129,0.022323610884797132
3,4,0.0115691706045299,0.006680788658953886,0.018738797458041388,0.01841290532833632,0.0115691706045299
3,5,0.0035848134267557437,0,0.0011406224539677367,0.0022812449079354733,0.0035848134267557437
3,6,0.014828091901580577,0.004399543751018413,0.013198631253055239,0.014013361577317907,0.011406224539677367
3,7,0.023790125468469935,0.04399543751018413,0.03780348704578784,0.03161153658139156,0.02183477269023953
3,8,0.006029004399543751,0.00032589212970506764,0.0017924067133778718,0.006191950464396285,0.006029004399543751
3,9,0.006517842594101353,0.0006517842594101353,0.0029330291673456085,0.005377220140133616,0.00554016620498615
4,0,0.022812449079354733,0.04301776112106893,0.04057357014828092,0.02900439954375102,0.02183477269023953
4,1,0.02004236597686166,0.00016294606485253382,0.004236597686165879,0.011243278474824833,0.017598175004073652
4,2,0.0050513280104285485,0.0004888381945576015,0.0014665145836728042,0.00342186736190321,0.0050513280104285485
4,3,0.01613166042040085,0.010591494215414698,0.024116017598175003,0.025745478246700343,0.01613166042040085
4,4,0.014339253707022975,0.0021182988430829396,0.01792406713377872,0.023790125468469935,0.024604855792732607
4,5,0.004562489815870947,0,0.0013035685188202706,0.0037477594916082778,0.004562489815870947
4,6,0.0115691706045299,0.000977676389115203,0.013035685188202705,0.01368746944761284,0.0115691706045299
4,7,0.03291510510021183,0.014665145836728044,0.029656183803161155,0.03666286459182011,0.03030796806257129
4,8,0.007169626853511487,0,0.0017924067133778718,0.0050513280104285485,0.007006680788658954
4,9,0.006029004399543751,0,0.0035848134267557437,0.004236597686165879,0.006029004399543751
5,0,0.007821411112921624,0.0011406224539677367,0.002607137037640541,0.003910705556460812,0.007821411112921624
5,1,0.005703112269838683,0,0.00032589212970506764,0.002444190972788007,0.005377220140133616
5,2,0.0017924067133778718,0,0.00032589212970506764,0.00032589212970506764,0.0014665145836728042
5,3,0.005214274075281082,0,0.0035848134267557437,0.00342186736190321,0.005214274075281082
5,4,0.005214274075281082,0,0.000977676389115203,0.0035848134267557437,0.005214274075281082
5,5,0.0011406224539677367,0,0,0.0004888381945576015,0.0029330291673456085
5,6,0.0032589212970506763,0,0.0006517842594101353,0.0011406224539677367,0.0032589212970506763
5,7,0.009939709956004562,0.0006517842594101353,0.002770083102493075,0.0050513280104285485,0.009939709956004562
5,8,0.004399543751018413,0,0.00016294606485253382,0.0008147303242626691,0.0035848134267557437
5,9,0.002607137037640541,0,0.00016294606485253382,0.0008147303242626691,0.0022812449079354733
6,0,0.01841290532833632,0.017272282874368584,0.023301287273912334,0.016294606485253382,0.016946390744663517
6,1,0.0074955189832165555,0.00016294606485253382,0.0035848134267557437,0.004562489815870947,0.0074955189832165555
6,2,0.00342186736190321,0,0.0011406224539677367,0.0013035685188202706,0.0032589212970506763
6,3,0.017761121068926185,0.004562489815870947,0.019553527782304056,0.014665145836728044,0.01368746944761284
6,4,0.008636141437184292,0.000977676389115203,0.008147303242626691,0.009613817826299494,0.008636141437184292
6,5,0.004236597686165879,0,0.0004888381945576015,0.0008147303242626691,0.004236597686165879
6,6,0.007006680788658954,0.00032589212970506764,0.006191950464396285,0.007006680788658954,0.009613817826299494
6,7,0.0110803324099723,0.005377220140133616,0.015153984031285645,0.013850415512465374,0.0110803324099723
6,8,0.005214274075281082,0,0.0008147303242626691,0.002607137037640541,0.005214274075281082
6,9,0.00554016620498615,0.00016294606485253382,0.0017924067133778718,0.0030959752321981426,0.0050513280104285485
7,0,0.03177448264624409,0.137363532670686,0.06061593612514258,0.045461952093856936,0.02981912986801369
7,1,0.015153984031285645,0.0004888381945576015,0.011406224539677367,0.01450219977187551,0.014339253707022975
7,2,0.00554016620498615,0.000977676389115203,0.002607137037640541,0.004073651621313346,0.00554016620498615
7,3,0.0226495030145022,0.05572755417956656,0.045787844223562,0.03161153658139156,0.020694150236271795
7,4,0.034055727554179564,0.013361577317907773,0.026397262506110478,0.027537884960078213,0.029330291673456087
7,5,0.005214274075281082,0.00032589212970506764,0.002444190972788007,0.0032589212970506763,0.005214274075281082
7,6,0.011732116669382434,0.009287925696594427,0.01792406713377872,0.016946390744663517,0.011732116669382434
7,7,0.020368258106566728,0.06990386182173701,0.0549128238553039,0.04008473195372332,0.029656183803161155
7,8,0.006517842594101353,0.00032589212970506764,0.004236597686165879,0.006191950464396285,0.006517842594101353
7,9,0.008799087502036826,0.00032589212970506764,0.006191950464396285,0.007332572918364022,0.008636141437184292
8,0,0.011732116669382434,0.0004888381945576015,0.00554016620498615,0.009776763891152028,0.011732116669382434
